rhoc,M,R,Lambda
3.122341779808462500e+14,2.975144575799620883e-01,1.162866384381651486e+01,6.698460589758297428e+05
3.204745897199045625e+14,3.166164243773274545e-01,1.160502147261109585e+01,5.176075461647592019e+05
3.285506712852855625e+14,3.357183911746928207e-01,1.159099868901142294e+01,4.055690374240062083e+05
3.364774340144433125e+14,3.548203579720581868e-01,1.158442218018076098e+01,3.215561251556621864e+05
3.442657418275542500e+14,3.739223247694235530e-01,1.158365120720029928e+01,2.577570198876593786e+05
3.519274288421483125e+14,3.930242915667888637e-01,1.158744243964046028e+01,2.086484878174306068e+05
3.594762060593352500e+14,4.121262583641542299e-01,1.159482768421802312e+01,1.703665164587005274e+05
3.669252194537740625e+14,4.312282251615195960e-01,1.160505083425399597e+01,1.402512878944379627e+05
3.742851894729864375e+14,4.503301919588849622e-01,1.161751980533063211e+01,1.162880753608428349e+05
3.815644090154975625e+14,4.694321587562503284e-01,1.163175052495648565e+01,9.707195427780751197e+04
3.887704526528114375e+14,4.885341255536156946e-01,1.164735508694337618e+01,8.153069625810682192e+04
3.959104116141489375e+14,5.076360923509810608e-01,1.166402414520199393e+01,6.887570406273785920e+04
4.029905122393230625e+14,5.267380591483463714e-01,1.168150104531891564e+01,5.849361054930774844e+04
4.100167588743093750e+14,5.458400259457117931e-01,1.169957658349787799e+01,4.991281540712731658e+04
4.169960110015926875e+14,5.649419927430771038e-01,1.171807541156331034e+01,4.279194857675968524e+04
4.239325117758028750e+14,5.840439595404425255e-01,1.173685366904996918e+01,3.682947838034982851e+04
4.308341564028641250e+14,6.031459263378078361e-01,1.175579056884039275e+01,3.183081924770266414e+04
4.377055412571000000e+14,6.222478931351731468e-01,1.177478520425425046e+01,2.761431526005080377e+04
4.445507809752534375e+14,6.413498599325385685e-01,1.179375255631265773e+01,2.403700996239380402e+04
4.513736769910000000e+14,6.604518267299039902e-01,1.181262064537902390e+01,2.099072107981114823e+04
4.581747487227107500e+14,6.795537935272693009e-01,1.183132893206127356e+01,1.838855930432951936e+04
4.649606873292184375e+14,6.986557603246346115e-01,1.184982711977795589e+01,1.615553982365535558e+04
4.717371981679608750e+14,7.177577271219999222e-01,1.186806894778607457e+01,1.423090459690445095e+04
4.785082931666096875e+14,7.368596939193653439e-01,1.188601932093551738e+01,1.256977425337020941e+04
4.852740640638418125e+14,7.559616607167307656e-01,1.190364514500340576e+01,1.112759833549475115e+04
4.920404352942380000e+14,7.750636275140960763e-01,1.192091844545637969e+01,9.873750410326889323e+03
4.988116835405175000e+14,7.941655943114613869e-01,1.193781643446749818e+01,8.779201229453596170e+03
5.055892061589123125e+14,8.132675611088268086e-01,1.195431886611137706e+01,7.823827728951813697e+03
5.123726705444513750e+14,8.323695279061921193e-01,1.197040680873702101e+01,6.985467842208369802e+03
5.191697968604646250e+14,8.514714947035575410e-01,1.198606561401687642e+01,6.249408642047296780e+03
5.259831702315763125e+14,8.705734615009228516e-01,1.200128333825865212e+01,5.599067507586079955e+03
5.328125812316425000e+14,8.896754282982882733e-01,1.201604566719670331e+01,5.025894083120359937e+03
5.396656168608344375e+14,9.087773950956535840e-01,1.203034532354908315e+01,4.518171611744553047e+03
5.465441268903158750e+14,9.278793618930188947e-01,1.204417104733927424e+01,4.068198758251830895e+03
5.534490321832041875e+14,9.469813286903843164e-01,1.205751511600453618e+01,3.668142972827473841e+03
5.603865576674272500e+14,9.660832954877496270e-01,1.207037051362020641e+01,3.312102060009935485e+03
5.673583873684675000e+14,9.851852622851150487e-01,1.208273029270601029e+01,2.994213933649914452e+03
5.743655583457403750e+14,1.004287229082480248e+00,1.209458759574172326e+01,2.709942698376188673e+03
5.814135064037063750e+14,1.023389195879845781e+00,1.210593796155330182e+01,2.456512964197957444e+03
5.885018329198868750e+14,1.042491162677211092e+00,1.211677550487586252e+01,2.228100066179977148e+03
5.956363388455577500e+14,1.061593129474576624e+00,1.212709493552273265e+01,2.023549670799025307e+03
6.028207642948696250e+14,1.080695096271941935e+00,1.213688987192716695e+01,1.839798348122565358e+03
6.100578206197995000e+14,1.099797063069307246e+00,1.214616136143291136e+01,1.674273364570844706e+03
6.173502215713825000e+14,1.118899029866672556e+00,1.215489237646661635e+01,1.524926171585894508e+03
6.247032879702903750e+14,1.138000996664037867e+00,1.216308857586959036e+01,1.390040573254717629e+03
6.321196970186441250e+14,1.157102963461403178e+00,1.217074145708676447e+01,1.268264518378057801e+03
6.396038922691355000e+14,1.176204930258768488e+00,1.217784572286985423e+01,1.157920680209761940e+03
6.471590626228873750e+14,1.195306897056134021e+00,1.218439564350537374e+01,1.058136646847992779e+03
6.547888680911547500e+14,1.214408863853499332e+00,1.219038461514182714e+01,9.676045869680010583e+02
6.624973155717578750e+14,1.233510830650864643e+00,1.219580761114968226e+01,8.852528789851213560e+02
6.702876797815973750e+14,1.252612797448230175e+00,1.220065750668829097e+01,8.106387246712096157e+02
6.781653616062463750e+14,1.271714764245595486e+00,1.220492766978491161e+01,7.425616049285687268e+02
6.861348493397606250e+14,1.290816731042960797e+00,1.220861078594709959e+01,6.805695962479451282e+02
6.942014204846651250e+14,1.309918697840326107e+00,1.221169877454277675e+01,6.240922861448592585e+02
7.023700126081247500e+14,1.329020664637691418e+00,1.221418317092599715e+01,5.726952170758452212e+02
7.106472256869111250e+14,1.348122631435056729e+00,1.221605511569516622e+01,5.255778956960015194e+02
7.190376890795878750e+14,1.367224598232422039e+00,1.221730464403903227e+01,4.821661648067790225e+02
7.275485419157645000e+14,1.386326565029787350e+00,1.221792138646283199e+01,4.432564633091748192e+02
7.361854034011602500e+14,1.405428531827153105e+00,1.221789366563588786e+01,4.072809003759898587e+02
7.449547678298286250e+14,1.424530498624518415e+00,1.221720930834113084e+01,3.743888967993212873e+02
7.538651323161363750e+14,1.443632465421883726e+00,1.221585522885042252e+01,3.441283685800468106e+02
7.629222195296975000e+14,1.462734432219249037e+00,1.221381677082264616e+01,3.164573392871533315e+02
7.721353224567186250e+14,1.481836399016614347e+00,1.221107873965826229e+01,2.910514424703746386e+02
7.815114328100622500e+14,1.500938365813979658e+00,1.220762406393634691e+01,2.677107897313895251e+02
7.910591089659660000e+14,1.520040332611344969e+00,1.220343504505570742e+01,2.462591333286256656e+02
8.007909032892841250e+14,1.539142299408710279e+00,1.219849181097979773e+01,2.265438323364804489e+02
8.107165997926211250e+14,1.558244266206075590e+00,1.219277332647329359e+01,2.084154656806194339e+02
8.208481456635145000e+14,1.577346233003441345e+00,1.218625619214617295e+01,1.917390318013984825e+02
8.312002575145685000e+14,1.596448199800806655e+00,1.217891507982453447e+01,1.763443606869811333e+02
8.417836652529052500e+14,1.615550166598171966e+00,1.217072244752353427e+01,1.622141839237581848e+02
8.526142844058920000e+14,1.634652133395537277e+00,1.216164787573875294e+01,1.491880803561228106e+02
8.637101048538812500e+14,1.653754100192902587e+00,1.215165830142484005e+01,1.371569924321811982e+02
8.750860477492606250e+14,1.672856066990267898e+00,1.214071741266644722e+01,1.260906382316479437e+02
8.867624461482727500e+14,1.691958033787633209e+00,1.212878487867635080e+01,1.158577152205084815e+02
8.987637817084638750e+14,1.711060000584998519e+00,1.211581660681797246e+01,1.063596424657271058e+02
9.111095805383248750e+14,1.730161967382363830e+00,1.210176358046134126e+01,9.769985022596219437e+01
9.238258410693930000e+14,1.749263934179729585e+00,1.208657144727541777e+01,8.965792074732119943e+01
9.369437705268895000e+14,1.768365900977094896e+00,1.207017954893503919e+01,8.221488538164078363e+01
9.504961599712317500e+14,1.787467867774460206e+00,1.205252018489449561e+01,7.535788502403586619e+01
9.645198847721023750e+14,1.806569834571825517e+00,1.203351727740994548e+01,6.900446400036463501e+01
9.790581283743817500e+14,1.825671801369190828e+00,1.201308428757297442e+01,6.312821774229695393e+01
9.941625505647320000e+14,1.844773768166556138e+00,1.199112311201201386e+01,5.771019725897118491e+01
1.009885771516084625e+15,1.863875734963921449e+00,1.196752163699913751e+01,5.268532088329608598e+01
1.026291822308123250e+15,1.882977701761286760e+00,1.194215033068741327e+01,4.804581736773953793e+01
1.043455734554435500e+15,1.902079668558652070e+00,1.191485922247346707e+01,4.374568022286504743e+01
1.061466520374098125e+15,1.921181635356017825e+00,1.188547186130945477e+01,3.976596250976361091e+01
1.080429924161661375e+15,1.940283602153383136e+00,1.185378014921303702e+01,3.608114235856622543e+01
1.100473495223943000e+15,1.959385568950748446e+00,1.181953465097005562e+01,3.266477998892614210e+01
1.121753110959345125e+15,1.978487535748113757e+00,1.178243198881070164e+01,2.950288049171809490e+01
1.144460302586676000e+15,1.997589502545479068e+00,1.174209843477803616e+01,2.656809001055828645e+01
1.168841373693971500e+15,2.016691469342844378e+00,1.169806351526674248e+01,2.384451084809370869e+01
1.195215585462228000e+15,2.035793436140209689e+00,1.164972263745924330e+01,2.130594803867276354e+01
1.224010599397663500e+15,2.054895402937575000e+00,1.159627367539461851e+01,1.895351881716815257e+01
1.255817210411520250e+15,2.073997369734940310e+00,1.153661634111353784e+01,1.675565629515409682e+01
1.291504120042942750e+15,2.093099336532306065e+00,1.146916708941954610e+01,1.469642619559132868e+01
1.332400638995734250e+15,2.112201303329671376e+00,1.139149594558680789e+01,1.275515522307096639e+01
1.380793733230566250e+15,2.131303270127036686e+00,1.129951895114723115e+01,1.090917082945566285e+01
1.441173208160688500e+15,2.150405236924401997e+00,1.118527544390619965e+01,9.115181197628251297e+00
1.525310045612473000e+15,2.169507203721767308e+00,1.102826629678159875e+01,7.277255660479735155e+00
1.759869401458835750e+15,2.188609170519132618e+00,1.061313491747329252e+01,4.410587410690791188e+00
